Symbol,TradeDate,Datetime,Open,High,Low,Close,Volume,MinuteChangePct,IsDrasticMoment
ADANIENT,2024-01-03,2024-01-03T10:29:00+05:30,3141.000000,3145.000000,3131.000000,3131.000000,37942,-0.316783,false
ADANIENT,2024-01-03,2024-01-03T10:30:00+05:30,3129.850000,3152.450000,3129.800000,3152.350000,63772,0.681891,false
ADANIENT,2024-01-03,2024-01-03T10:31:00+05:30,3150.100000,3150.100000,3140.500000,3142.100000,31729,-0.325154,false
ADANIENT,2024-01-03,2024-01-03T10:32:00+05:30,3142.300000,3143.800000,3130.000000,3130.750000,36667,-0.361223,false
ADANIENT,2024-01-03,2024-01-03T10:33:00+05:30,3132.100000,3133.850000,3123.550000,3125.000000,49310,-0.183662,false
ADANIENT,2024-01-03,2024-01-03T10:34:00+05:30,3129.450000,3132.450000,3126.750000,3131.900000,16346,0.220800,false
ADANIENT,2024-01-03,2024-01-03T10:35:00+05:30,3130.150000,3132.000000,3121.950000,3130.000000,32161,-0.060666,false
ADANIENT,2024-01-03,2024-01-03T10:36:00+05:30,3128.750000,3165.000000,3128.750000,3163.000000,134632,1.054313,false
ADANIENT,2024-01-03,2024-01-03T10:37:00+05:30,3164.900000,3165.050000,3133.000000,3151.250000,139419,-0.371483,false
ADANIENT,2024-01-03,2024-01-03T10:38:00+05:30,3152.050000,3199.000000,3152.050000,3198.000000,417255,1.483538,true
ADANIENT,2024-01-03,2024-01-03T10:39:00+05:30,3196.950000,3196.950000,3146.850000,3146.850000,280617,-1.599437,false
ADANIENT,2024-01-03,2024-01-03T10:40:00+05:30,3141.550000,3144.900000,3002.400000,3002.900000,803909,-4.574416,false
ADANIENT,2024-01-03,2024-01-03T10:41:00+05:30,3002.050000,3105.150000,2990.000000,3078.600000,558220,2.520896,false
ADANIENT,2024-01-03,2024-01-03T10:42:00+05:30,3079.000000,3079.150000,3050.000000,3062.000000,222379,-0.539206,false
ADANIENT,2024-01-03,2024-01-03T10:43:00+05:30,3063.300000,3079.550000,3037.300000,3056.900000,206138,-0.166558,false
ADANIENT,2024-01-03,2024-01-03T10:44:00+05:30,3057.350000,3070.000000,3016.000000,3020.100000,192956,-1.203834,false
ADANIENT,2024-01-03,2024-01-03T10:45:00+05:30,3020.650000,3044.950000,2988.200000,2992.350000,285299,-0.918844,false
ADANIENT,2024-01-03,2024-01-03T10:46:00+05:30,2994.700000,3018.800000,2958.200000,3016.950000,345372,0.822096,false
ADANIENT,2024-01-03,2024-01-03T10:47:00+05:30,3018.250000,3054.900000,3010.050000,3045.100000,288850,0.933062,false
ADANIENT,2024-01-03,2024-01-03T10:48:00+05:30,3045.000000,3065.000000,3035.100000,3062.950000,158426,0.586188,false
